controller,value,date,time
BLOWER,0,2020-11-02,08:58:31
BLOWER,1,2020-11-02,09:46:31
BLOWER,0,2020-11-02,09:57:31
BLOWER,1,2020-11-02,10:18:31
BLOWER,1,2020-11-02,10:18:31
BLOWER,1,2020-11-02,10:18:31
BLOWER,1,2020-11-02,10:18:31
BLOWER,1,2020-11-02,10:18:31
BLOWER,0,2020-11-02,10:57:31
BLOWER,1,2020-11-02,11:03:31
BLOWER,1,2020-11-02,11:03:31
BLOWER,1,2020-11-02,11:03:31
BLOWER,1,2020-11-02,11:03:31
BLOWER,1,2020-11-02,11:03:31
BLOWER,1,2020-11-02,11:03:31
BLOWER,1,2020-11-02,11:03:31
BLOWER,1,2020-11-02,11:03:31
BLOWER,1,2020-11-02,11:03:31
BLOWER,0,2020-11-02,14:13:01
BLOWER,1,2020-11-02,14:50:31
BLOWER,1,2020-11-02,14:50:31
BLOWER,1,2020-11-02,14:50:31
BLOWER,1,2020-11-02,14:50:31
BLOWER,1,2020-11-02,14:50:31
BLOWER,1,2020-11-02,14:50:31
BLOWER,1,2020-11-02,14:50:31
BLOWER,1,2020-11-02,14:50:31
BLOWER,1,2020-11-02,14:50:31
BLOWER,1,2020-11-02,14:50:31
BLOWER,1,2020-11-02,14:50:31
BLOWER,1,2020-11-02,14:50:31
BLOWER,1,2020-11-02,14:50:31
BLOWER,0,2020-11-02,15:45:01
BLOWER,1,2020-11-03,08:44:31
BLOWER,0,2020-11-03,08:45:31
BLOWER,1,2020-11-03,08:49:01
BLOWER,0,2020-11-03,08:54:31
BLOWER,1,2020-11-03,08:55:31
BLOWER,0,2020-11-03,08:58:01
BLOWER,1,2020-11-03,08:59:01
BLOWER,0,2020-11-03,09:03:01
BLOWER,1,2020-11-03,09:03:31
BLOWER,0,2020-11-03,09:16:01
BLOWER,1,2020-11-03,09:16:31
BLOWER,0,2020-11-03,09:23:31
BLOWER,1,2020-11-03,09:24:31
BLOWER,0,2020-11-03,09:35:01
BLOWER,1,2020-11-03,09:35:31
